time,x,y,z,yaw
163645084.605852007865906,-25926.757659999999305,-93137.901899999997113,-1.997320000000000,2.011380000000000
163645084.705852001905441,-25927.469730000000709,-93136.394639999998617,-2.100530000000000,2.012760000000000
163645084.804852008819580,-25928.183779999999388,-93134.888309999994817,-2.200560000000000,2.013970000000000
163645084.905851989984512,-25928.899190000000090,-93133.382629999992787,-2.298420000000000,2.014550000000000
163645085.006850987672806,-25929.614740000000893,-93131.877009999996517,-2.397360000000000,2.014270000000000
163645085.106851011514664,-25930.329559999998310,-93130.371050000001560,-2.499460000000000,2.013750000000000
163645085.204851001501083,-25931.044060000000172,-93128.864929999996093,-2.603820000000000,2.013880000000000
163645085.306850999593735,-25931.759350000000268,-93127.359190000002855,-2.706110000000000,2.014660000000000
163645085.406850993633270,-25932.475910000001022,-93125.854070000001229,-2.803240000000000,2.015450000000000
163645085.505851000547409,-25933.193240000000515,-93124.349300000001676,-2.898020000000000,2.015690000000000
163645085.606851011514664,-25933.910360000001674,-93122.844419999993988,-2.993130000000000,2.015230000000000
163645085.706851005554199,-25934.626270000000659,-93121.338990000003832,-3.087840000000000,2.014180000000000
163645085.806850999593735,-25935.340290000000095,-93119.832639999993262,-3.183120000000000,2.012820000000000
163645085.906850993633270,-25936.052250000000640,-93118.325330000006943,-3.280000000000000,2.011480000000000
163645086.006850987672806,-25936.762279999999009,-93116.817110000003595,-3.375790000000000,2.010200000000000
163645086.105850011110306,-25937.470180000000255,-93115.307879999993020,-3.468110000000000,2.008650000000000
163645086.206849992275238,-25938.175609999998414,-93113.797500000000582,-3.554710000000000,2.007010000000000
163645086.306849986314774,-25938.878619999999501,-93112.285999999992782,-3.634110000000000,2.005420000000000
163645086.407849997282028,-25939.579010000001290,-93110.773270000005141,-3.709460000000000,2.003540000000000
163645086.505849987268448,-25940.276480000000447,-93109.259189999997034,-3.784440000000000,2.001630000000000
163645086.606849998235703,-25940.971079999999347,-93107.743789999993169,-3.859890000000000,1.999690000000000
163645086.706849992275238,-25941.662410000000818,-93106.226909999997588,-3.934660000000000,1.997320000000000
163645086.805849999189377,-25942.349979999999050,-93104.708310000001802,-4.007070000000000,1.994870000000000
163645086.906850010156631,-25943.034339999998338,-93103.188259999995353,-4.079020000000000,1.993120000000000
163645087.005849987268448,-25943.716649999998481,-93101.667300000000978,-4.152930000000000,1.992020000000000
163645087.105850011110306,-25944.397339999999531,-93100.145619999995688,-4.222860000000000,1.990880000000000
163645087.206849008798599,-25945.075990000001184,-93098.623000000006869,-4.281720000000000,1.989390000000000
163645087.307848989963531,-25945.752349999998842,-93097.099379999999655,-4.334630000000000,1.987970000000000
163645087.406848996877670,-25946.426909999998315,-93095.574970000001485,-4.389700000000000,1.987010000000000
163645087.505849003791809,-25947.100399999999354,-93094.050080000000889,-4.446250000000000,1.986520000000000
163645087.605848997831345,-25947.773639999999432,-93092.525070000003325,-4.500550000000000,1.986650000000000
163645087.705848991870880,-25948.447530000001279,-93091.000350000002072,-4.551040000000000,1.987250000000000
163645087.805848985910416,-25949.122510000001057,-93089.476120000006631,-4.598550000000000,1.988030000000000
163645087.906848996877670,-25949.798689999999624,-93087.952420000001439,-4.645560000000000,1.988790000000000
163645088.006848990917206,-25950.475880000001780,-93086.429170000003069,-4.692250000000000,1.989370000000000
163645088.106849014759064,-25951.153890000001411,-93084.906270000006771,-4.737660000000000,1.989910000000000
163645088.205848008394241,-25951.832910000000993,-93083.383839999994962,-4.781220000000000,1.990720000000000
163645088.306847989559174,-25952.513399999999820,-93081.862059999999474,-4.822150000000000,1.991770000000000
163645088.406848013401031,-25953.195400000000518,-93080.340939999994589,-4.861110000000000,1.992630000000000
163645088.503847986459732,-25953.878349999999045,-93078.820269999996526,-4.901370000000000,1.993100000000000
163645088.603848010301590,-25954.561839999998483,-93077.299840000006952,-4.944850000000000,1.993380000000000
163645088.703848004341125,-25955.245620000001509,-93075.779529999999795,-4.989870000000000,1.993480000000000
163645088.803847998380661,-25955.929400000000896,-93074.259220000007190,-5.033670000000000,1.993420000000000
163645088.904848009347916,-25956.612959999998566,-93072.738819999998668,-5.074700000000000,1.993200000000000
163645089.003847986459732,-25957.296040000001085,-93071.218189999999595,-5.115040000000000,1.992800000000000
163645089.104847997426987,-25957.978390000000218,-93069.697239999994054,-5.158790000000000,1.992280000000000
163645089.203848004341125,-25958.660029999999097,-93068.175959999993211,-5.206090000000000,1.991890000000000
163645089.303846985101700,-25959.341270000000804,-93066.654529999999795,-5.252400000000000,1.991730000000000
163645089.404846996068954,-25960.022349999999278,-93065.133010000005015,-5.295640000000000,1.991640000000000
163645089.503847002983093,-25960.703239999998914,-93063.611399999994319,-5.338380000000000,1.991470000000000
163645089.604847013950348,-25961.383929999999964,-93062.089710000000196,-5.383410000000000,1.991440000000000
163645089.703846991062164,-25962.064959999999701,-93060.568159999995260,-5.430410000000000,1.991890000000000
163645089.802846997976303,-25962.746889999998530,-93059.047030000001541,-5.475090000000000,1.992490000000000
