time,x,y,z,yaw,time,x,y,z,error_x,error_y,error_z,error_longitudinal,error_lateral,new_error_x,new_error_y,new_longitudinal_error,new_error_lateral
163645084.605852,-25926.75766,-93137.9019,-1.99732,2.01138,163645084.605851,-25926.6914062,-93137.90625,-2.05627465248,0.066253799999686,-0.004350000002887,-0.05895465248,-0.039705726404615,-0.053216010796614,0.066253799999686,-0.004350000002887,-0.032189678198236,-0.088181844795836
163645084.705852,-25927.46973,-93136.39464,-2.10053,2.01276,163645084.705851,-25927.4101562,-93136.3984375,-2.16345047951,0.05957380000109,-0.003797500001383,-0.06292047951,-0.039280017933305,-0.044950404269479,0.05957380000109,-0.003797500001383,-0.028913236075635,-0.079330187377098
163645084.804852,-25928.18378,-93134.88831,-2.20056,2.01397,163645084.804851,-25928.1152344,-93134.9140625,-2.26158714294,0.068545599999197,-0.025752500005183,-0.06102714294,-0.06469131498126,-0.03430341530755,0.068545599999197,-0.025752500005183,-0.052657637604819,-0.091316723713871
163645084.905852,-25928.89919,-93133.38263,-2.29842,2.01455,163645084.905851,-25928.8144531,-93133.4453125,-2.35326242447,0.08473690000028,-0.062682500007213,-0.05484242447,-0.103757920334575,-0.018540010697294,0.08473690000028,-0.062682500007213,-0.092991791157032,-0.112910144337214
163645085.006851,-25929.61474,-93131.87701,-2.39736,2.01427,163645085.006851,-25929.5097656,-93131.9921875,-2.45547246933,0.104974400001083,-0.115177500003483,-0.05811246933,-0.155837699523462,0.000304252978733,0.104974400001083,-0.115177500003483,-0.149078376762989,-0.13986225697619
163645085.106851,-25930.32956,-93130.37105,-2.49946,2.01375,163645085.106851,-25930.2402344,-93130.453125,-2.5608997345,0.089325599998119,-0.08207499999844,-0.0614397345,-0.120485619288166,-0.014091982987327,0.089325599998119,-0.08207499999844,-0.112439751989989,-0.118990593918788
163645085.204851,-25931.04406,-93128.86493,-2.60382,2.01388,163645085.204851,-25930.9394531,-93128.96875,-2.65797328949,0.104606900000363,-0.103820000003907,-0.05415328949,-0.14701521332805,-0.010378968089605,0.104606900000363,-0.103820000003907,-0.138642351703966,-0.139353263841025
163645085.306851,-25931.75935,-93127.35919,-2.70611,2.01466,163645085.306851,-25931.7109375,-93127.34375,-2.77327609062,0.048412500000268,0.015440000002855,-0.06716609062,-0.022315526004009,-0.045652831845664,0.048412500000268,0.015440000002855,-0.00684602187714,-0.06451116504029
163645085.406851,-25932.47591,-93125.85407,-2.80324,2.01545,163645085.406851,-25932.3945312,-93125.890625,-2.86328291893,0.081378800001403,-0.036554999998771,-0.06004291893,-0.084106063109538,-0.029748063177169,0.081378800001403,-0.036554999998771,-0.068005085258586,-0.108470205069748
163645085.505851,-25933.19324,-93124.3493,-2.89802,2.01569,163645085.505851,-25933.1367188,-93124.3359375,-2.96282362938,0.056521200000134,0.013362500001676,-0.06480362938,-0.032324858784272,-0.048252522838985,0.056521200000134,0.013362500001676,-0.012262824830288,-0.075343795954214
163645085.606851,-25933.91036,-93122.84442,-2.99313,2.01523,163645085.60685,-25933.8398438,-93122.8515625,-3.05647706985,0.070516200001293,-0.007142500006012,-0.06334706985,-0.055386840383251,-0.044224966719248,0.070516200001293,-0.007142500006012,-0.036766840010528,-0.093984057587927
163645085.706851,-25934.62627,-93121.33899,-3.08784,2.01418,163645085.70685,-25934.5507812,-93121.359375,-3.14951229095,0.07548880000104,-0.020384999996168,-0.06167229095,-0.065781320467196,-0.042272036005293,0.07548880000104,-0.020384999996168,-0.050798452233723,-0.100574003888956
